Name,Address,Phone,Website,Rating,Google Maps Link
Sacrée Fleur Montmartre,"50 Rue de Clignancourt, 75018 Paris, France",+33 1 42 51 66 18,http://www.sacreefleur.fr/,4.8,https://www.google.com/maps/place/?q=place_id:ChIJf-oe7Wdu5kcRRto099RQ9Fc
Pink Mamma,"20bis Rue de Douai, 75009 Paris, France",+33 9 73 03 40 29,https://www.bigmammagroup.com/italian-restaurants/pink-mamma?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,4.7,https://www.google.com/maps/place/?q=place_id:ChIJaYIUUk9u5kcRfAhRNL_ZJgw
Chouchou,"23 Bd de Sébastopol, 75001 Paris, France",+33 1 45 08 02 03,http://www.restaurantchouchouparis.fr/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJHwzjqZJv5kcRCir2RjPAaKE
Le Marais Restaurant Paris,"47 R. de Turbigo, 75003 Paris, France",+33 9 87 36 09 13,https://www.privateaser.com/lieu/44897-le-marais-restaurant,4.5,https://www.google.com/maps/place/?q=place_id:ChIJ0Y7Uk_lv5kcRxQMuMKFtVmc
Le Ju',"16 Rue des Archives, 75004 Paris, France",+33 1 42 78 11 47,https://le-ju-paris.fr/,4.8,https://www.google.com/maps/place/?q=place_id:ChIJ62uOOx1u5kcRhQssBujerII
Les Baux de Paris,"71 Rue Mouffetard, 75005 Paris, France",+33 1 47 07 91 58,https://www.instagram.com/lesbaux_paris/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJU8BNx-5x5kcRNSC_roNvBRs
La Réserve Du Terroir - Restaurant Paris 4,"13 R. Quincampoix, 75004 Paris, France",+33 1 47 07 55 14,https://linktr.ee/reserveduterroir,4.6,https://www.google.com/maps/place/?q=place_id:ChIJkxq-0GRv5kcR5q-bLdl_5lY
Bistrot Des Tournelles,"6 Rue des Tournelles, 75004 Paris, France",+33 1 57 40 99 96,https://www.bistrotdestournelles.com/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJjwaAPtBz5kcR_T40W9rYhjc
La Petite Rose des Sables,"6 Rue de Lancry, 75010 Paris, France",+33 1 40 18 35 30,,4.9,https://www.google.com/maps/place/?q=place_id:ChIJZUHe-g5u5kcRwdKX01SNJKE
Restaurant Biscotte,"22 Rue Desnouettes, 75015 Paris, France",+33 1 45 33 22 22,http://www.restaurant-biscotte.com/,4.8,https://www.google.com/maps/place/?q=place_id:ChIJB9SzTgZx5kcRp7lN4whrb3U
Le P'tit Bistrot,"8 Rue Saint-Martin, 75004 Paris, France",+33 1 42 78 55 80,,4.6,https://www.google.com/maps/place/?q=place_id:ChIJ7WkibR5u5kcR12JLnyKyw3E
Granite,"6 Rue Bailleul, 75001 Paris, France",+33 1 40 13 64 06,https://granite.paris/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJ63m1Hxpv5kcRtffG6PtiUyY
